station_id,start_counts,end_counts,start_station_name,start_station_latitude,start_station_longitude
75.0,760,722,Market St at Franklin St,37.773793206088705,-122.42123901844023
200.0,748,823,2nd Ave at E 18th St,37.800213566969795,-122.25381016731262
370.0,746,648,Jones St at Post St,37.7873267660624,-122.41327822208405
13.0,746,764,Commercial St at Montgomery St,37.794230999999996,-122.402923
345.0,741,758,Hubbell St at 16th St,37.76648269643949,-122.39827930927277
79.0,733,715,7th St at Brannan St,37.773491899999996,-122.40367250000001
240.0,728,620,Haste St at Telegraph Ave,37.866043100000006,-122.2588044
133.0,712,697,Valencia St at 22nd St,37.7552126,-122.42097520000002
98.0,708,692,Valencia St at 16th St,37.765052000000004,-122.42186609999999
116.0,702,683,Mississippi St at 17th St,37.764802200000005,-122.3947713
76.0,695,653,McCoppin St at Valencia St,37.77166246221617,-122.42242321372034
196.0,692,712,Grand Ave at Perkins St,37.80889393398715,-122.25646018981932
73.0,692,626,Pierce St at Haight St,37.7717933,-122.43370790000002
163.0,685,558,Lake Merritt BART Station,37.7973195,-122.26531990000001
100.0,684,680,Bryant St at 15th St,37.7671004,-122.41066200000002
72.0,679,555,Page St at Scott St,37.772406,-122.4356498
41.0,678,612,Golden Gate Ave at Polk St,37.78127,-122.41873999999999
141.0,674,634,Valencia St at Cesar Chavez St,37.747998100000004,-122.42021869999999
238.0,671,765,MLK Jr Way at University Ave,37.8717192,-122.27306770000001
181.0,669,689,Grand Ave at Webster St,37.8113768,-122.2651925
95.0,666,536,Sanchez St at 15th St,37.7662185,-122.4310597
369.0,664,504,Hyde St at Post St,37.78734902316596,-122.41665109992027
127.0,654,631,Valencia St at 21st St,37.7567083,-122.421025
280.0,651,680,San Fernando St at 7th St,37.3371223728942,-121.88321471214294
8.0,649,725,The Embarcadero at Vallejo St,37.799953,-122.398525
356.0,647,618,Valencia St at Clinton Park,37.769188178104585,-122.42228507995605
53.0,647,528,Grove St at Divisadero,37.775946000000005,-122.4377775
85.0,645,507,Church St at Duboce Ave,37.7700831,-122.42915570000001
171.0,644,617,Rockridge BART Station,37.84427875399067,-122.251900434494
285.0,643,607,Webster St at O'Farrell St,37.78352083526095,-122.43115782737732
197.0,638,738,El Embarcadero at Grand Ave,37.808847899999996,-122.24967990000002
101.0,630,661,15th St at Potrero Ave,37.76707850458367,-122.40735858678819
122.0,629,656,19th St at Mission St,37.760298999999996,-122.418892
71.0,624,375,Broderick St at Oak St,37.773062700000004,-122.4390777
246.0,621,633,Berkeley Civic Center,37.869059899999996,-122.270556
123.0,618,641,Folsom St at 19th St,37.7605936,-122.41481709999998
115.0,616,645,Jackson Playground,37.7650259,-122.39877340000001
4.0,610,609,Cyril Magnin St at Ellis St,37.78588062694133,-122.4089150084319
124.0,600,605,19th St at Florida St,37.7604469,-122.410807
97.0,578,489,14th St at Mission St,37.7682646,-122.4201102
125.0,572,566,20th St at Bryant St,37.7592005,-122.409851
102.0,570,602,Irwin St at 8th St,37.7668828,-122.3995794
247.0,569,651,Fulton St at Bancroft Way,37.867789200000004,-122.26589640000002
120.0,569,557,Mission Dolores Park,37.7614205,-122.4264353
195.0,559,560,Bay Pl at Vernon St,37.81231409135146,-122.26077854633331
119.0,553,481,18th St at Noe St,37.7610471,-122.43264170000002
52.0,546,367,McAllister St at Baker St,37.7774157,-122.4418376
258.0,526,597,University Ave at Oxford St,37.8723555,-122.26644669999999
144.0,516,504,Precita Park,37.747299600000005,-122.41140290000001
267.0,513,462,Derby St at College Ave,37.8618037,-122.25356869999999
108.0,512,526,16th St Mission BART,37.76471008581914,-122.41995692253113
336.0,512,426,Potrero Ave and Mariposa St,37.76328094058097,-122.4073773622513
183.0,507,519,Telegraph Ave at 19th St,37.8087021,-122.26992709999999
55.0,504,404,Webster St at Grove St,37.7770527,-122.4295585
96.0,489,469,Dolores St at 15th St,37.7662102,-122.4266136
269.0,487,493,Telegraph Ave at Carleton St,37.862319899999996,-122.258801
31.0,476,477,Raymond Kimbell Playground,37.783812709278116,-122.4345588684082
248.0,469,502,Telegraph Ave at Ashby Ave,37.8559558,-122.2597949
386.0,464,484,24th St at Bartlett St,37.75210498442358,-122.41972357034685
56.0,460,364,Koshland Park,37.77341396997343,-122.427316904068
244.0,459,472,Shattuck Ave at Hearst Ave,37.87367621459825,-122.26848721504213
249.0,455,431,Russell St at College Ave,37.8584732,-122.2532529
110.0,454,490,17th & Folsom Street Park (17th St at Folsom St),37.7637085,-122.41520420000002
105.0,453,404,16th St at Prosper St,37.764285,-122.43180420000002
91.0,450,409,Berry St at King St,37.77176211031317,-122.39843755960464
252.0,439,523,Channing Way at Shattuck Ave,37.865846600000005,-122.26744309999998
84.0,439,256,Duboce Park,37.769200500000004,-122.4338119
132.0,435,309,24th St at Chattanooga St,37.751819399999995,-122.42661389999999
145.0,435,407,29th St at Church St,37.7436839,-122.42680590000002
305.0,434,408,Ryland Park,37.342725,-121.89561699999999
107.0,428,347,17th St at Dolores St,37.7630152,-122.42649679999998
147.0,428,395,29th St at Tiffany Ave,37.744066700000005,-122.42147220000001
99.0,425,434,Folsom St at 15th St,37.7670373,-122.41544250000001
254.0,422,407,Vine St at Shattuck Ave,37.88022244590679,-122.26959228515624
113.0,405,402,Franklin Square,37.764555,-122.41034499999999
178.0,404,375,Broadway at 30th St,37.819381400000005,-122.2619284
312.0,402,398,San Jose Diridon Station,37.329732,-121.90178200000001
211.0,393,345,Broadway at 40th St,37.827757299999995,-122.25671559999999
